Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
USA,USA_C13T15,10724.8159,1143.356951,11868.17285,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C16,12735.56477,3977.009262,16712.57404,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C17_18,11749.87215,5400.065019,17149.93717,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C19,5465.129773,6166.419912,11631.54969,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C20,12385.60516,6965.219151,19350.82431,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C21,5521.686579,1333.477013,6855.163593,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C22,14358.1151,4652.42683,19010.54193,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C23,16380.22013,4202.235847,20582.45598,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C24,11941.07516,7447.928895,19389.00405,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C25,12322.61337,7848.681693,20171.29506,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C26,3503.371125,1587.457908,5090.829034,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C27,14532.01819,2432.549314,16964.5675,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C28,13303.18631,6374.702706,19677.88901,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C29,22514.36488,16859.62666,39373.99154,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C30,6362.40556,3095.01311,9457.41867,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C31T33,10561.93097,3908.089186,14470.02016,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_D,11349.79649,3699.829324,15049.62582,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_E,8297.541376,1538.615886,9836.157261,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_F,13059.75692,37074.08821,50133.84513,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_G,2500.872834,26804.49958,29305.37241,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_H49,11401.58693,7300.082545,18701.66948,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_H50,11535.2002,513.1852934,12048.38549,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_H51,20886.19796,875.8258883,21762.02385,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_H52,4257.255175,2892.980314,7150.235489,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_H53,9807.082867,1456.799088,11263.88196,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_I,4215.422409,6660.750082,10876.17249,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_J58T60,5578.733243,4777.557936,10356.29118,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_J61,9091.894623,4981.03757,14072.93219,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_J62_63,3944.360125,5066.073261,9010.433386,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_K,2262.525551,9951.456179,12213.98173,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_L,2319.290173,16135.76679,18455.05697,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_M,3468.262802,13633.76753,17102.03033,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_N,5732.900522,8183.698569,13916.59909,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_O,7912.593231,21782.90719,29695.50042,Tax Revenue Share (USD per million USD output),USD per million USD
